id,first_name,last_name,email,utm_source,month
11591,Kyle,Blankenship,visitor0@mail.com,twitter,3 - March
21303,Jessica,Johnson,visitor1@mail.com,email,1 - January
40561,James,Saunders,visitor2@mail.com,facebook,2 - February
81719,Amanda,Jones,visitor3@mail.com,yahoo,3 - March
96231,James,Sweeney,visitor4@mail.com,facebook,3 - March
17314,Elizabeth,Jones,visitor5@mail.com,email,1 - January
29623,Ashley,Brown,visitor6@mail.com,facebook,1 - January
77675,Michael,Jones,visitor7@mail.com,facebook,1 - January
75082,Amanda,Jones,visitor8@mail.com,yahoo,1 - January
93624,Jessica,Rodriguez,visitor9@mail.com,yahoo,2 - February
43130,Ryan,Miller,visitor10@mail.com,google,3 - March
61756,Michael,Peck,visitor11@mail.com,email,2 - February
36292,Jessica,Velazquez,visitor12@mail.com,twitter,1 - January
96206,David,Blankenship,visitor13@mail.com,twitter,1 - January
79274,David,Saunders,visitor14@mail.com,yahoo,1 - January
12469,Donna,Velazquez,visitor15@mail.com,google,1 - January
63947,Ashley,Peck,visitor16@mail.com,facebook,3 - March
32534,Christopher,Jones,visitor17@mail.com,google,1 - January
73620,Sarah,Saunders,visitor18@mail.com,yahoo,1 - January
58874,David,Peck,visitor19@mail.com,twitter,2 - February
59708,Ryan,Miller,visitor20@mail.com,twitter,2 - February
84553,Kyle,Peck,visitor21@mail.com,facebook,2 - February
78344,Keith,Miller,visitor22@mail.com,twitter,3 - March
59138,Donna,Peck,visitor23@mail.com,yahoo,1 - January
64302,Keith,Williams,visitor24@mail.com,facebook,3 - March
57638,James,Martinez,visitor25@mail.com,google,2 - February
88249,Ashley,Saunders,visitor26@mail.com,facebook,2 - February
12719,Emily,Garcia,visitor27@mail.com,facebook,3 - March
32890,Sarah,Peck,visitor28@mail.com,email,1 - January
87236,James,Johnson,visitor29@mail.com,facebook,2 - February
46509,Jessica,Jones,visitor30@mail.com,google,1 - January
52534,Amanda,Saunders,visitor31@mail.com,email,2 - February
28787,James,Williams,visitor32@mail.com,facebook,3 - March
58845,Albert,Sweeney,visitor33@mail.com,yahoo,3 - March
67932,Ashley,Sweeney,visitor34@mail.com,google,3 - March
43062,David,Blankenship,visitor35@mail.com,google,2 - February
85713,Kyle,Dillon,visitor36@mail.com,facebook,1 - January
97263,Sarah,Johnson,visitor37@mail.com,twitter,3 - March
70461,Amanda,Rodriguez,visitor38@mail.com,facebook,3 - March
85418,Keith,Rodriguez,visitor39@mail.com,yahoo,1 - January
76672,Donna,Sweeney,visitor40@mail.com,email,2 - February
44832,David,Williams,visitor41@mail.com,twitter,3 - March
41966,Ryan,Davis,visitor42@mail.com,facebook,2 - February
82545,David,Dillon,visitor43@mail.com,yahoo,2 - February
22987,Donna,Rodriguez,visitor44@mail.com,google,3 - March
47311,Donna,Peck,visitor45@mail.com,google,1 - January
41575,Albert,Peck,visitor46@mail.com,facebook,1 - January
73852,Christopher,Brown,visitor47@mail.com,twitter,3 - March
11007,David,Jones,visitor48@mail.com,yahoo,2 - February
80981,James,Dillon,visitor49@mail.com,yahoo,3 - March
86242,David,Jones,visitor50@mail.com,email,1 - January
57517,Ashley,Williams,visitor51@mail.com,facebook,1 - January
39257,Ashley,Davis,visitor52@mail.com,yahoo,1 - January
97272,Emily,Johnson,visitor53@mail.com,google,3 - March
52207,Albert,Miller,visitor54@mail.com,twitter,2 - February
23281,Michael,Dillon,visitor55@mail.com,yahoo,2 - February
